iss,CodeEx,Entité,Tunnel,Axe,Sens,Pr,Description,Local,Tatouage
IS128,CAM/IS128,AGER_OUEST_N,LA_DEFENSE,A14,W,30909.0,Caméra Issue de secours n°128 - Tunnel de Nanterre-La Défense,L10.396C,E72.874F
IS129,CAM/IS129,AGER_OUEST_N,LA_DEFENSE,A14,W,30756.0,Caméra Issue de secours n°129 - Tunnel de Nanterre-La Défense,L10.397D,E72.875G
IS137,CAM/IS137,AGER_OUEST_N,LA_DEFENSE,A14,W,30524.0,Caméra Issue de secours n°137 - Tunnel de Nanterre-La Défense,L10.406N,E72.876H
IS138,CAM/IS138,AGER_OUEST_N,LA_DEFENSE,A14,W,30286.0,Caméra Issue de secours n°138 - Tunnel de Nanterre-La Défense,L10.407P,E72.877J
IS139,CAM/IS139,AGER_OUEST_N,LA_DEFENSE,A14,W,30145.0,Caméra Issue de secours n°139 - Tunnel de Nanterre-La Défense,L10.408R,E72.878K
IS140,CAM/IS140,AGER_OUEST_N,LA_DEFENSE,A14,W,20903.0,Caméra Issue de secours n°140 - Tunnel de Nanterre-La Défense,L10.409S,E72.879L
IS141,CAM/IS141,AGER_OUEST_N,LA_DEFENSE,A14,W,20760.0,Caméra Issue de secours n°141 - Tunnel de Nanterre-La Défense,L10.411U,E72.881N
IS142,CAM/IS142,AGER_OUEST_N,LA_DEFENSE,A14,W,20559.0,Caméra Issue de secours n°142 - Tunnel de Nanterre-La Défense,L10.412V,E72.882P
IS143,CAM/IS143,AGER_OUEST_N,LA_DEFENSE,A14,W,20337.0,Caméra Issue de secours n°143 - Tunnel de Nanterre-La Défense,L10.413W,E72.883R
IS144,CAM/IS144,AGER_OUEST_N,LA_DEFENSE,A14,W,20259.0,Caméra Issue de secours n°144 - Tunnel de Nanterre-La Défense,L10.414X,E72.884S
IS145,CAM/IS145,AGER_OUEST_N,LA_DEFENSE,N314,W,10840.0,Caméra Issue de secours n°145 - Tunnel de Nanterre-La Défense,L10.415Y,E72.885T
IS146,CAM/IS146,AGER_OUEST_N,LA_DEFENSE,A14,W,20017.0,Caméra Issue de secours n°146 - Tunnel de Nanterre-La Défense,L10.416A,E72.886U
IS147,CAM/IS147,AGER_OUEST_N,LA_DEFENSE,A14,W,10826.0,Caméra Issue de secours n°147 - Tunnel de Nanterre-La Défense,L10.417C,E72.887V
IS148,CAM/IS148,AGER_OUEST_N,LA_DEFENSE,A14,W,10659.0,Caméra Issue de secours n°148 - Tunnel de Nanterre-La Défense,L10.418D,E72.888W
IS149,CAM/IS149,AGER_OUEST_N,LA_DEFENSE,A14,W,10442.0,Caméra Issue de secours n°149 - Tunnel de Nanterre-La Défense,L10.419E,E72.889X
IS150,CAM/IS150,AGER_OUEST_N,LA_DEFENSE,A14,W,10261.0,Caméra Issue de secours n°150 - Tunnel de Nanterre-La Défense,L10.421G,E72.891A
IS151,CAM/IS151,AGER_OUEST_N,LA_DEFENSE,A14,W,10045.0,Caméra Issue de secours n°151 - Tunnel de Nanterre-La Défense,L10.422H,E72.892C
IS152,CAM/IS152,AGER_OUEST_N,LA_DEFENSE,A14,W,784.0,Caméra Issue de secours n°152 - Tunnel de Nanterre-La Défense,L10.423J,E72.893D
IS157,CAM/IS157,AGER_OUEST_N,LA_DEFENSE,A14,W,465.0,Caméra Issue de secours n°157 - Tunnel de Nanterre-La Défense,L10.836A,E72.894E
IS158,CAM/IS158,AGER_OUEST_N,LA_DEFENSE,A14,W,264.0,Caméra Issue de secours n°158 - Tunnel de Nanterre-La Défense,L10.837C,E72.895F
IS101,CAM/IS101,AGER_OUEST_N,LA_DEFENSE,A14,Y,295.0,Caméra Issue de secours n°101 - Tunnel de Nanterre-La Défense,L10.366R,E72.896G
IS102,CAM/IS102,AGER_OUEST_N,LA_DEFENSE,N192,Y,60.0,Caméra Issue de secours n°102 - Tunnel de Nanterre-La Défense (Bretelle N192),L10.367S,E72.897H
IS104,CAM/IS104,AGER_OUEST_N,LA_DEFENSE,A14,Y,935.0,Caméra Issue de secours n°104 - Tunnel de Nanterre-La Défense,L10.369U,E72.898J
IS106,CAM/IS106,AGER_OUEST_N,LA_DEFENSE,A14,Y,10247.0,Caméra Issue de secours n°106 - Tunnel de Nanterre-La Défense,L10.372X,E72.899K
IS107,CAM/IS107,AGER_OUEST_N,LA_DEFENSE,A14,Y,10439.0,Caméra Issue de secours n°107 - Tunnel de Nanterre-La Défense,L10.373Y,E72.901M
IS108,CAM/IS108,AGER_OUEST_N,LA_DEFENSE,A14,Y,10656.0,Caméra Issue de secours n°108 - Tunnel de Nanterre-La Défense,L10.374A,E72.902N
IS109,CAM/IS109,AGER_OUEST_N,LA_DEFENSE,A14,Y,10821.0,Caméra Issue de secours n°109 - Tunnel de Nanterre-La Défense,L10.375C,E72.903P
IS110,CAM/IS110,AGER_OUEST_N,LA_DEFENSE,A14,Y,20005.0,Caméra Issue de secours n°110 - Tunnel de Nanterre-La Défense,L10.376D,E72.904R
IS112,CAM/IS112,AGER_OUEST_N,LA_DEFENSE,A14,Y,20252.0,Caméra Issue de secours n°112 - Tunnel de Nanterre-La Défense,L10.378F,E72.905S
IS113,CAM/IS113,AGER_OUEST_N,LA_DEFENSE,A14,Y,20329.0,Caméra Issue de secours n°113 - Tunnel de Nanterre-La Défense,L10.379G,E72.906T
IS114,CAM/IS114,AGER_OUEST_N,LA_DEFENSE,A14,Y,20548.0,Caméra Issue de secours n°114 - Tunnel de Nanterre-La Défense,L10.381J,E72.907U
IS115,CAM/IS115,AGER_OUEST_N,LA_DEFENSE,A14,Y,20753.0,Caméra Issue de secours n°115 - Tunnel de Nanterre-La Défense,L10.382K,E72.908V
IS116,CAM/IS116,AGER_OUEST_N,LA_DEFENSE,A14,Y,20995.0,Caméra Issue de secours n°116 - Tunnel de Nanterre-La Défense,L10.383L,E72.909W
IS117,CAM/IS117,AGER_OUEST_N,LA_DEFENSE,A14,Y,30136.0,Caméra Issue de secours n°117 - Tunnel de Nanterre-La Défense,L10.384M,E72.911Y
IS118,CAM/IS118,AGER_OUEST_N,LA_DEFENSE,A14,Y,30286.0,Caméra Issue de secours n°118 - Tunnel de Nanterre-La Défense,L10.385N,E72.912A
IS119,CAM/IS119,AGER_OUEST_N,LA_DEFENSE,A14,Y,30429.0,Caméra Issue de secours n°119 - Tunnel de Nanterre-La Défense,L10.386P,E72.913C
IS121,CAM/IS121,AGER_OUEST_N,LA_DEFENSE,A14,Y,30598.0,Caméra Issue de secours n°121 - Tunnel de Nanterre-La Défense,L10.388S,E72.914D
IS122,CAM/IS122,AGER_OUEST_N,ECHANGEUR_NANTERRE,A14XA86,Y>E,100.0,Caméra Issue de secours n°122 - Tunnel de Nanterre-La Défense,L10.389T,E72.915E
IS127,CAM/IS127,AGER_OUEST_N,LA_DEFENSE,A14,Y,30946.0,Caméra Issue de secours n°127 - Tunnel de Nanterre-La Défense,L10.395A,E72.916F
IS502,CAM/IS502,AGER_OUEST_N,NEUILLY,N13,W,80079.0,Caméra Issue de secours n°502 - Tunnel de Neuilly,L10.669C,E72.917G
IS501,CAM/IS501,AGER_OUEST_N,NEUILLY,N13,Y,80068.0,Caméra Issue de secours n°501 - Tunnel de Neuilly,L10.668A,E72.918H
IS123,CAM/IS123,AGER_OUEST_N,ECHANGEUR_NANTERRE,A14XA86,Y>E,270.0,Caméra Issue de secours n°123 - Tunnel de Nanterre-La Défense (Bretelle B1),L10.391V,E72.919J
IS124,CAM/IS124,AGER_OUEST_N,ECHANGEUR_NANTERRE,A14XA86,Y>E,470.0,Caméra Issue de secours n°124 - Tunnel de Nanterre-La Défense (Bretelle B1),L10.392W,E72.921L
IS125,CAM/IS125,AGER_OUEST_N,ECHANGEUR_NANTERRE,A14XA86,Y>E,520.0,Caméra Issue de secours n°125 - Tunnel de Nanterre-La Défense (Bretelle B1),L10.393X,E72.922M
IS126,CAM/IS126,AGER_OUEST_N,ECHANGEUR_NANTERRE,A14XA86,Y>E,726.0,Caméra Issue de secours n°126 - Tunnel de Nanterre-La Défense (Bretelle B1),L10.394Y,E72.923N
IS130,CAM/IS130,AGER_OUEST_N,ECHANGEUR_NANTERRE,A14XA86,E>Y,130.0,Caméra Issue de secours n°130 - Tunnel de Nanterre-La Défense (Bretelle B3-B4),L10.398E,E72.925R
IS132,CAM/IS132,AGER_OUEST_N,ECHANGEUR_NANTERRE,A14XA86,E>W,246.0,Caméra Issue de secours n°132 - Tunnel de Nanterre-La Défense (Bretelle B3),L10.401H,E72.926S
IS131,CAM/IS131,AGER_OUEST_N,ECHANGEUR_NANTERRE,A14XA86,E>Y,290.0,Caméra Issue de secours n°131 - Tunnel de Nanterre-La Défense (Bretelle B4),L10.399F,E72.927T
IS133,CAM/IS133,AGER_OUEST_N,ECHANGEUR_NANTERRE,A14XA86,E>W,403.0,Caméra Issue de secours n°133 - Tunnel de Nanterre-La Défense (Bretelle B3),L10.402J,E72.928U
IS134,CAM/IS134,AGER_OUEST_N,ECHANGEUR_NANTERRE,A14XA86,E>W,578.0,Caméra Issue de secours n°134 - Tunnel de Nanterre-La Défense (Bretelle B3),L10.403K,E72.929V
IS135,CAM/IS135,AGER_OUEST_N,ECHANGEUR_NANTERRE,A14XA86,E>W,700.0,Caméra Issue de secours n°135 - Tunnel de Nanterre-La Défense (Bretellle B3),L10.404L,E72.931X
IS176,CAM/IS176,AGER_OUEST_N,ECHANGEUR_NANTERRE,A14XA86,I>W,119.0,Caméra Issue de secours n°176 - Tunnel de Nanterre-La Défense (Bretelle B8),L10.435X,E72.932Y
IS177,CAM/IS177,AGER_OUEST_N,ECHANGEUR_NANTERRE,A14XA86,I>W,315.0,Caméra Issue de secours n°177 - Tunnel de Nanterre-La Défense (Bretelle B8),L10.436Y,E72.933A
IS155,CAM/IS155,AGER_OUEST_N,LA_DEFENSE,N1013,W,100.0,Caméra Issue de secours n°155 - Tunnel de Nanterre-La Défense (Bretelle N1013),L10.834X,E72.934C
IS156,CAM/IS156,AGER_OUEST_N,LA_DEFENSE,N192,W,200.0,Caméra Issue de secours n°156 - Tunnel de Nanterre-La Défense (Bretelle N1013),L10.835Y,E72.935D
IS111,CAM/IS111,AGER_OUEST_N,LA_DEFENSE,N314,Y,10767.0,Caméra Issue de secours n°111 - Tunnel de Nanterre-La Défense (Bretelle N314),L10.377E,E72.936E
IS179,CAM/IS179,AGER_OUEST_N,NANTERRE_CENTRE,A86OUEST,E,790950.0,Caméra Issue de secours n°179 - Tunnel de Nanterre-La Défense,L10.438C,E72.937F
IS180,CAM/IS180,AGER_OUEST_N,NANTERRE_CENTRE,A86OUEST,E,790818.0,Caméra Issue de secours n°180 - Tunnel de Nanterre-La Défense,L10.439D,E72.938G
IS181,CAM/IS181,AGER_OUEST_N,NANTERRE_CENTRE,A86OUEST,E,790675.0,Caméra Issue de secours n°181 - Tunnel de Nanterre-La Défense,L10.441F,E72.939H
IS182,CAM/IS182,AGER_OUEST_N,NANTERRE_CENTRE,A86OUEST,E,790477.0,Caméra Issue de secours n°182 - Tunnel de Nanterre-La Défense,L10.442G,E72.941K
IS183,CAM/IS183,AGER_OUEST_N,NANTERRE_CENTRE,A86OUEST,E,790334.0,Caméra Issue de secours n°183 - Tunnel de Nanterre-La Défense,L10.443H,E72.942L
IS184,CAM/IS184,AGER_OUEST_N,NANTERRE_CENTRE,A86OUEST,E,790116.0,Caméra Issue de secours n°184 - Tunnel de Nanterre-La Défense,L10.444J,E72.943M
IS171,CAM/IS171,AGER_OUEST_N,NANTERRE_CENTRE,A86OUEST,I,790116.0,Caméra Issue de secours n°171 - Tunnel de Nanterre-La Défense,L10.429R,E72.944N
IS172,CAM/IS172,AGER_OUEST_N,NANTERRE_CENTRE,A86OUEST,I,790344.0,Caméra Issue de secours n°172 - Tunnel de Nanterre-La Défense,L10.431T,E72.945P
IS173,CAM/IS173,AGER_OUEST_N,NANTERRE_CENTRE,A86OUEST,I,790492.0,Caméra Issue de secours n°173 - Tunnel de Nanterre-La Défense,L10.432U,E72.946R
IS174,CAM/IS174,AGER_OUEST_N,NANTERRE_CENTRE,A86OUEST,I,790687.0,Caméra Issue de secours n°174- Tunnel de Nanterre-La Défense,L10.433V,E72.947S
IS175,CAM/IS175,AGER_OUEST_N,NANTERRE_CENTRE,A86OUEST,I,790814.0,Caméra Issue de secours n°175 - Tunnel de Nanterre-La Défense,L10.434W,E72.948T
IS178,CAM/IS178,AGER_OUEST_N,NANTERRE_CENTRE,A86OUEST,I,800095.0,Caméra Issue de secours n°178 - Tunnel de Nanterre-La Défense,L10.437A,E72.949U
IS103,CAM/IS103,AGER_OUEST_N,LA_DEFENSE,A14,Y,735.0,Caméra Issue de secours n°103 - Tunnel de Nanterre-La Défense,L10.368T,E73.118V
IS103,CAM/IS103A,AGER_OUEST_N,LA_DEFENSE,N192,Y,300.0,Caméra Issue de secours n°103a - Tunnel de Nanterre-La Défense,L10.425L,E73.119W
IS105,CAM/IS105,AGER_OUEST_N,LA_DEFENSE,A14,Y,10100.0,Caméra Issue de secours n°105 - Tunnel de Nanterre-La Défense,L10.371W,E73.121Y
IS153,CAM/IS153,AGER_OUEST_N,LA_DEFENSE,A14,W,661.0,Caméra Issue de secours n°153 - Tunnel de Nanterre-La Défense,L10.424K,E73.122A
IS154,CAM/IS154,AGER_OUEST_N,LA_DEFENSE,N192,W,300.0,Caméra Issue de secours n°154 - Tunnel de Nanterre-La Défense,L10.426M,E73.123C
IS511,CAM/IS511,AGER_OUEST_N,SEVINES,N315,Y,30027.0,Caméra Issue de secours n°511 - Tunnel des Sévines,L10.671E,E73.138U
IS512,CAM/IS512,AGER_OUEST_N,SEVINES,N315,Y,30235.0,Caméra Issue de secours n°512 - Tunnel des Sévines,L10.672F,E73.139V
IS515,CAM/IS515,AGER_OUEST_N,SEVINES,N315,W,30240.0,Caméra Issue de secours n°515 - Tunnel des Sévines,L10.675J,E73.141X
IS516,CAM/IS516,AGER_OUEST_N,SEVINES,N315,W,30030.0,Caméra Issue de secours n°516 - Tunnel des Sévines,L10.676K,E73.142Y
IS503,CAM/IS503,AGER_OUEST_N,NEUILLY,N13,W,80190.0,Caméra Issue de secours n°503 - Tunnel de Neuilly,L11.513F,E73.521A
IS504,CAM/IS504,AGER_OUEST_N,NEUILLY,N13,W,70980.0,Caméra Issue de secours n°504 - Tunnel de Neuilly,L11.514G,E73.522C
IS185,CAM/IS185,AGER_OUEST_N,ECHANGEUR_NANTERRE,A14XA86,W>I,389.0,Caméra Issue de secours n°185 - Tunnel de Nanterre-La Défense,L11.773P,E74.099N
IS186,CAM/IS186,AGER_OUEST_N,ECHANGEUR_NANTERRE,A14XA86,W>I,590.0,Caméra Issue de secours n°186 - Tunnel de Nanterre-La Défense,L11.774R,E74.101R
IS272,CAM/IS272,AGER_EST,GUY-MOQUET,A86EST,I,430994.0,Caméra Issue de secours n°272 - Tunnel Guy Môquet,L10.504F,E73.082D
IS273,CAM/IS273,AGER_EST,GUY-MOQUET,A86EST,I,440108.0,Caméra Issue de secours n°273 - Tunnel Guy Môquet,L10.505G,E73.083E
IS274,CAM/IS274,AGER_EST,GUY-MOQUET,A86EST,I,440207.0,Caméra Issue de secours n°274 - Tunnel Guy Môquet,L10.506H,E73.084F
IS275,CAM/IS275,AGER_EST,GUY-MOQUET,A86EST,I,440319.0,Caméra Issue de secours n°275 - Tunnel Guy Môquet,L10.507J,E73.085G
IS276,CAM/IS276,AGER_EST,GUY-MOQUET,A86EST,E,440446.0,Caméra Issue de secours n°276 - Tunnel Guy Môquet,L10.508K,E73.086H
IS277,CAM/IS277,AGER_EST,GUY-MOQUET,A86EST,E,440240.0,Caméra Issue de secours n°277 - Tunnel Guy Môquet,L10.509L,E73.087J
IS278,CAM/IS278,AGER_EST,GUY-MOQUET,A86EST,E,440141.0,Caméra Issue de secours n°278 - Tunnel Guy Môquet,L10.511N,E73.088K
IS279,CAM/IS279,AGER_EST,GUY-MOQUET,A86EST,E,440029.0,Caméra Issue de secours n°279 - Tunnel Guy Môquet,L10.512P,E73.089L
IS281,CAM/IS281,AGER_EST,MOULIN,A86EST,I,450587.0,Caméra Issue de secours n°281 - Tunnel du Moulin,L10.514S,E73.091N
IS282,CAM/IS282,AGER_EST,MOULIN,A86EST,I,450677.0,Caméra Issue de secours n°282 - Tunnel du Moulin,L10.515T,E73.092P
IS283,CAM/IS283,AGER_EST,MOULIN,A86EST,I,450792.0,Caméra Issue de secours n°283 - Tunnel du Moulin,L10.516U,E73.093R
IS284,CAM/IS284,AGER_EST,MOULIN,A86EST,I,450869.0,Caméra Issue de secours n°284 - Tunnel du Moulin,L10.517V,E73.094S
IS285,CAM/IS285,AGER_EST,MOULIN,A86EST,I,450990.0,Caméra Issue de secours n°285 - Tunnel du Moulin,L10.518W,E73.095T
IS288,CAM/IS288,AGER_EST,MOULIN,A86EST,E,460215.0,Caméra Issue de secours n°288 - Tunnel du Moulin,L10.522C,E73.096U
IS289,CAM/IS289,AGER_EST,MOULIN,A86EST,E,460106.0,Caméra Issue de secours n°289 - Tunnel du Moulin,L10.523D,E73.097V
IS290,CAM/IS290,AGER_EST,MOULIN,A86EST,E,460018.0,Caméra Issue de secours n°290 - Tunnel du Moulin,L10.524E,E73.098W
IS291,CAM/IS291,AGER_EST,MOULIN,A86EST,E,450907.0,Caméra Issue de secours n°291 - Tunnel du Moulin,L10.525F,E73.099X
IS292,CAM/IS292,AGER_EST,MOULIN,A86EST,E,450786.0,Caméra Issue de secours n°292 - Tunnel du Moulin,L10.526G,E73.101A
IS293,CAM/IS293,AGER_EST,MOULIN,A86EST,E,450702.0,Caméra Issue de secours n°293 - Tunnel du Moulin,L10.527H,E73.102C
IS294,CAM/IS294,AGER_EST,MOULIN,A86EST,E,450607.0,Caméra Issue de secours n°294 - Tunnel du Moulin,L10.528J,E73.103D
IS295,CAM/IS295,AGER_EST,MOULIN,A86EST,E,450552.0,Caméra Issue de secours n°295 - Tunnel du Moulin,L10.529K,E73.104E
IS296,CAM/IS296,AGER_EST,MOULIN,A86EST,E,450457.0,Caméra Issue de secours n°296 - Tunnel du Moulin,L10.531M,E73.105F
IS381,CAM/IS381,AGER_EST,CHAMPIGNY,A4,Y,90389.0,Caméra Issue de secours n°381 - Tunnel de Champigny,L10.584A,E73.508K
IS384,CAM/IS384,AGER_EST,CHAMPIGNY,A4,Y,90650.0,Caméra Issue de secours n°384 - Tunnel de Champigny,L10.587E,E73.509L
IS385,CAM/IS385,AGER_EST,CHAMPIGNY,A4,Y,90751.0,Caméra Issue de secours n°385 - Tunnel de Champigny,L10.588F,E73.511N
IS386,CAM/IS386,AGER_EST,CHAMPIGNY,A4,Y,90854.0,Caméra Issue de secours n°386 - Tunnel de Champigny,L10.589G,E73.512P
IS387,CAM/IS387,AGER_EST,CHAMPIGNY,A4,Y,90951.0,Caméra Issue de secours n°387 - Tunnel de Champigny,L10.591J,E73.513R
IS388,CAM/IS388,AGER_EST,CHAMPIGNY,A4,W,90954.0,Caméra Issue de secours n°388 - Tunnel de Champigny,L10.592K,E73.514S
IS389,CAM/IS389,AGER_EST,CHAMPIGNY,A4,W,90858.0,Caméra Issue de secours n°389 - Tunnel de Champigny,L10.593L,E73.515T
IS390,CAM/IS390,AGER_EST,CHAMPIGNY,A4,W,90762.0,Caméra Issue de secours n°390 - Tunnel de Champigny,L10.594M,E73.516U
IS391,CAM/IS391,AGER_EST,CHAMPIGNY,A4,W,90658.0,Caméra Issue de secours n°391 - Tunnel de Champigny,L10.595N,E73.517V
IS392,CAM/IS392,AGER_EST,CHAMPIGNY,A4,W,90585.0,Caméra Issue de secours n°392 - Tunnel de Champigny,L10.596P,E73.518W
IS393,CAM/IS393,AGER_EST,CHAMPIGNY,A4,W,90452.0,Caméra Issue de secours n°393 - Tunnel de Champigny,L10.597R,E73.519X
IS261,CAM/IS261,AGER_EST,NOGENT,A86EST,E,320620.0,Caméra Issue de secours n°261 - Tunnel de Nogent,L10.493S,E73.822J
IS262,CAM/IS262,AGER_EST,NOGENT,A86EST,E,320478.0,Caméra Issue de secours n°262 - Tunnel de Nogent,L10.494T,E73.823K
IS263,CAM/IS263,AGER_EST,NOGENT,A86EST,E,320273.0,Caméra Issue de secours n°263 - Tunnel de Nogent,L10.495U,E73.824L
IS264,CAM/IS264,AGER_EST,NOGENT,A86EST,E,310880.0,Caméra Issue de secours n°264 - Tunnel de Nogent,L10.496V,E73.825M
IS267,CAM/IS267,AGER_EST,NOGENT,A86EST,E,310415.0,Caméra Issue de secours n°267 - Tunnel de Nogent,L10.499Y,E73.826N
IS269,CAM/IS269,AGER_EST,NOGENT,A86EST,E,300997.0,Caméra Issue de secours n°269 - Tunnel de Nogent,L10.502D,E73.827P
IS251,CAM/IS251,AGER_EST,NOGENT,A86EST,I,300954.0,Caméra Issue de secours n°251 - Tunnel de Nogent,L10.482E,E73.828R
IS252,CAM/IS252,AGER_EST,NOGENT,A86EST,I,310100.0,Caméra Issue de secours n°252 - Tunnel de Nogent,L10.483F,E73.829S
IS253,CAM/IS253,AGER_EST,NOGENT,A86EST,I,310230.0,Caméra Issue de secours n°253 - Tunnel de Nogent,L10.484G,E73.831U
IS254,CAM/IS254,AGER_EST,NOGENT,A86EST,I,310388.0,Caméra Issue de secours n°254 - Tunnel de Nogent,L10.485H,E73.832V
IS255,CAM/IS255,AGER_EST,NOGENT,A86EST,I,310530.0,Caméra Issue de secours n°255 - Tunnel de Nogent,L10.486J,E73.833W
